53.0,83.1,1.03,24,3,18,3,542,2352,38,47,41.5,73.2,42.2,
48.7,58.0,3.65,28,7,14,7,2390,3480,31,62,13.0,73.1,13.4,
72.6,62.4,2.37,171,80,32,59,2369,1483,22,130,28.5,74.0,28.8,
18.7,85.4,0.24,133,7,24,102,201,5091,9,18,15.4,71.9,15.5,
66.4,89.8,0.40,30,10,7,13,140,625,4,25,58.6,75.7,58.8,
52.4,54.5,0.98,42,12,12,18,333,363,2,6,8.4,71.9,8.6,
64.7,89.1,0.37,9,3,6,0,54,241,2,4,56.5,72.0,56.7,
95.2,90.3,0.58,19,18,1,0,458,214,8,32,84.8,73.0,85.0,
69.6,90.3,0.38,8,3,4,1,27,109,2,3,61.6,72.3,62.0,
71.5,91.7,0.42,10,5,5,0,75,330,5,8,64.5,66.5,64.9,
56.3,61.3,4.24,26,6,17,3,2542,3122,36,59,20.2,73.5,20.7,
669.1,855.7,14.66,500,154,140,206,9131,17410,159,394,452.9,797.0,456.6,

0.381056 DUMMY=15

51.3,84.9,0.87,24,3,17,4,456,2440,27,36,41.6,73.5,42.2,
45.9,57.7,3.49,28,8,11,9,2283,3668,22,51,11.9,73.3,12.2,
71.9,63.6,2.23,171,75,33,63,2231,1523,24,124,30.2,73.9,30.6,
16.3,83.1,0.25,133,6,22,105,207,5243,1,13,13.0,71.6,13.0,
66.3,90.7,0.36,30,12,6,12,127,626,5,22,59.2,75.5,59.4,
54.3,52.7,1.09,42,13,10,19,372,348,2,5,5.2,71.8,5.4,
77.3,88.7,0.46,9,5,4,0,67,155,3,4,67.1,71.9,67.4,
95.3,89.7,0.62,19,18,1,0,491,209,7,32,84.2,73.0,84.3,
69.6,90.3,0.38,8,3,4,1,27,109,2,3,61.6,72.3,62.0,
74.8,90.0,0.54,10,6,4,0,96,291,5,6,66.1,66.1,66.5,
55.6,63.1,3.87,26,6,18,2,2324,3172,29,51,22.6,73.6,23.0,
678.7,854.4,14.16,500,155,130,215,8681,17784,127,347,462.8,796.5,466.1,

0.383560(和目前最优的mot16一样的参数)DUMMY=20 min0.1
6
53.1,52.8,1.06,42,12,10,20,362,357,2,4,5.4,71.7,5.6,
42.7,56.1,0.75,42,8,12,22,254,437,0,6,9.3,71.8,9.3,
6min0.3  全部用于拟合平面
49.5,57.7,0.81,42,11,9,22,276,385,2,5,13.0,72.4,13.2,

2   min0.3
44.8,64.7,2.54,28,7,11,10,1661,3741,21,45,20.1,73.5,20.3,


50.9,87.3,0.70,24,4,15,5,370,2461,15,32,43.2,74.0,43.5,
44.8,64.7,2.54,28,7,11,10,1661,3741,21,45,20.1,73.5,20.3,
69.7,65.1,2.02,171,71,31,69,2025,1643,22,128,31.9,74.2,32.2,
17.2,84.1,0.24,133,3,26,104,204,5188,8,18,13.8,71.6,13.9,
63.1,92.6,0.27,30,8,8,14,94,685,7,21,57.7,76.1,58.0,
49.5,57.7,0.81,42,11,9,22,276,385,2,5,13.0,72.4,13.2,
76.6,88.6,0.46,9,5,4,0,67,160,3,4,66.3,71.9,66.7,
95.8,90.4,0.57,19,18,1,0,453,187,3,32,85.6,73.1,85.7,
74.1,93.3,0.27,8,3,4,1,19,93,1,5,68.5,72.6,68.7,
67.4,95.5,0.21,10,5,4,1,37,377,2,4,64.0,66.7,64.1,
56.0,69.0,2.99,26,6,18,2,1794,3142,29,54,30.5,73.7,30.9,
665.0,888.4,11.09,500,141,131,228,7000,18062,113,348,494.5,799.9,497.2,

0.416408

